epoch,train_loss,val_loss,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
1,1.0216088259398048,0.9920125365257263,0.5269376039505005,0.567834198474884,0.5235834121704102,0.5125874876976013,0.6327433586120605,0.6751270294189453,0.6287596821784973,0.6296846270561218,"tensor([[ 76,  52,  14],
        [ 20, 129,   8],
        [ 12,  60,  81]])"
2,0.8973819417739982,0.9008450786272685,0.6691871285438538,0.6827362179756165,0.6672892570495605,0.6693684458732605,0.6371681690216064,0.6481302380561829,0.6348444819450378,0.6367473602294922,"tensor([[ 79,  35,  28],
        [ 21, 107,  29],
        [ 10,  41, 102]])"
3,0.8212594265368447,0.8593021194140117,0.6866729855537415,0.694366455078125,0.6862218976020813,0.6879010200500488,0.6747787594795227,0.6958446502685547,0.6715574264526367,0.6737615466117859,"tensor([[ 83,  43,  16],
        [ 19, 125,  13],
        [ 12,  44,  97]])"
4,0.7587885785458693,0.8241971214612325,0.7027410268783569,0.7150834202766418,0.7023060321807861,0.7032225728034973,0.6769911646842957,0.6868724226951599,0.6755280494689941,0.6779327392578125,"tensor([[ 90,  32,  20],
        [ 22, 114,  21],
        [ 10,  41, 102]])"
5,0.7181816350168256,0.7981201708316803,0.7188090682029724,0.7293922305107117,0.719060480594635,0.7198357582092285,0.6924778819084167,0.6984828114509583,0.6920709609985352,0.6938726902008057,"tensor([[ 97,  26,  19],
        [ 24, 112,  21],
        [ 10,  39, 104]])"
6,0.6828312642538725,0.7958385447661082,0.7334593534469604,0.7483077049255371,0.7342453002929688,0.7341387867927551,0.7057521939277649,0.7208570837974548,0.7071704268455505,0.7067188620567322,"tensor([[110,  26,   6],
        [ 29, 115,  13],
        [ 20,  39,  94]])"
7,0.6514819873802697,0.7626098910967509,0.7386578321456909,0.7501125931739807,0.7396782040596008,0.7393876910209656,0.7035398483276367,0.7134466767311096,0.7029109597206116,0.7054621577262878,"tensor([[ 98,  30,  14],
        [ 21, 116,  20],
        [ 10,  39, 104]])"
8,0.6272249924602793,0.744764526685079,0.753780722618103,0.7680032253265381,0.7546090483665466,0.7544878125190735,0.7101770043373108,0.7231647372245789,0.7083255648612976,0.711236298084259,"tensor([[ 93,  34,  15],
        [ 18, 121,  18],
        [  9,  37, 107]])"
9,0.6082461591976792,0.7332487682501475,0.7665406465530396,0.7786150574684143,0.7674643397331238,0.7669767737388611,0.7256637215614319,0.7322688102722168,0.7263296246528625,0.7268726229667664,"tensor([[108,  24,  10],
        [ 23, 117,  17],
        [ 15,  35, 103]])"
10,0.581270513249867,0.7366331299146016,0.7707939743995667,0.7811650633811951,0.7717170715332031,0.7713415622711182,0.7234513163566589,0.7425232529640198,0.7232561707496643,0.7257675528526306,"tensor([[105,  29,   8],
        [ 20, 124,  13],
        [ 10,  45,  98]])"
11,0.5506066969081537,0.7190216283003489,0.7811909317970276,0.7936256527900696,0.7821347713470459,0.7824888229370117,0.721238911151886,0.7349134087562561,0.7206822037696838,0.7234058976173401,"tensor([[102,  28,  12],
        [ 18, 122,  17],
        [  9,  42, 102]])"
12,0.5315924656035295,0.7167800347010295,0.7925330996513367,0.8033069968223572,0.7936384081840515,0.7934263348579407,0.7345132827758789,0.7456297278404236,0.7356083393096924,0.736345112323761,"tensor([[112,  23,   7],
        [ 23, 119,  15],
        [ 12,  40, 101]])"
13,0.5144458204063017,0.6972087025642395,0.8057655692100525,0.8181983828544617,0.8066287040710449,0.8069235682487488,0.7345132827758789,0.7403048872947693,0.7343690991401672,0.7361475825309753,"tensor([[104,  25,  13],
        [ 21, 117,  19],
        [  9,  33, 111]])"
14,0.4954883972210671,0.6864920765161514,0.8137996196746826,0.8232252597808838,0.8148699402809143,0.8146327137947083,0.7345132827758789,0.7432252764701843,0.7332455515861511,0.7356154322624207,"tensor([[ 98,  24,  20],
        [ 12, 119,  26],
        [  9,  29, 115]])"
15,0.4869801918072487,0.6835587879021963,0.8260869383811951,0.835071325302124,0.8269721865653992,0.8278005719184875,0.75,0.7613682746887207,0.7494576573371887,0.7518303990364075,"tensor([[106,  26,  10],
        [ 14, 126,  17],
        [ 10,  36, 107]])"
16,0.46283253137745073,0.6812975148359934,0.8317580223083496,0.8413570523262024,0.8327193260192871,0.8331730365753174,0.7544247508049011,0.7704542279243469,0.7539859414100647,0.7565610408782959,"tensor([[108,  27,   7],
        [ 13, 129,  15],
        [ 10,  39, 104]])"
17,0.4501294128930391,0.6975590765476227,0.8379017114639282,0.8444514274597168,0.8387697339057922,0.8391868472099304,0.741150438785553,0.7681360244750977,0.7409164309501648,0.7426161766052246,"tensor([[109,  29,   4],
        [ 14, 132,  11],
        [ 12,  47,  94]])"
18,0.4336454650359367,0.6538432796796163,0.8449905514717102,0.8530823588371277,0.8456867337226868,0.8463966250419617,0.747787594795227,0.7559050917625427,0.7467682361602783,0.7491238713264465,"tensor([[101,  23,  18],
        [ 12, 120,  25],
        [  8,  28, 117]])"
19,0.4165239663266424,0.6582858105500539,0.8544423580169678,0.862589418888092,0.8552513122558594,0.8556960225105286,0.7544247508049011,0.7685596942901611,0.7536484599113464,0.7562689781188965,"tensor([[106,  26,  10],
        [ 13, 129,  15],
        [  9,  38, 106]])"
20,0.4204466836665993,0.6969357162714005,0.8558601140975952,0.8627861142158508,0.8567578196525574,0.8573154807090759,0.7566371560096741,0.7614260315895081,0.7601460814476013,0.7555577158927917,"tensor([[126,  10,   6],
        [ 25, 112,  20],
        [ 26,  23, 104]])"
21,0.39724078418603587,0.6379555304845174,0.8634215593338013,0.8678143620491028,0.8644102215766907,0.864621639251709,0.7566371560096741,0.7688220143318176,0.7553163170814514,0.7585006356239319,"tensor([[101,  22,  19],
        [ 10, 123,  24],
        [  5,  30, 118]])"
22,0.38783838811205396,0.663316348195076,0.8695651888847351,0.8744141459465027,0.8704808354377747,0.8705999851226807,0.76106196641922,0.7631445527076721,0.7627647519111633,0.7616918683052063,"tensor([[118,  15,   9],
        [ 18, 119,  20],
        [ 15,  31, 107]])"
23,0.36693839484186314,0.6766107231378555,0.8813799619674683,0.8857085108757019,0.8818718791007996,0.8823081851005554,0.7566371560096741,0.7638803124427795,0.7588026523590088,0.7561249136924744,"tensor([[121,  17,   4],
        [ 20, 121,  16],
        [ 22,  31, 100]])"
24,0.3564247686916323,0.6229389806588491,0.8837429285049438,0.8887271881103516,0.8843821883201599,0.884932279586792,0.7743362784385681,0.7832831740379333,0.7745397090911865,0.7761735916137695,"tensor([[109,  12,  21],
        [ 10, 115,  32],
        [  8,  19, 126]])"
25,0.33990201665394343,0.6118800123532613,0.8894140124320984,0.8931142687797546,0.8900659680366516,0.890552818775177,0.778761088848114,0.7843315601348877,0.7787349820137024,0.7805997729301453,"tensor([[111,  17,  14],
        [ 12, 124,  21],
        [  7,  29, 117]])"
26,0.32796138013476756,0.6075903962055842,0.8960302472114563,0.8991384506225586,0.8968034386634827,0.897210419178009,0.7765486836433411,0.7824217677116394,0.775881290435791,0.7778124213218689,"tensor([[107,  19,  16],
        [ 12, 124,  21],
        [  7,  26, 120]])"
27,0.32490426524361565,0.6233566721280416,0.8927221298217773,0.89754718542099,0.8935572504997253,0.8940551280975342,0.7765486836433411,0.7900803685188293,0.7758280634880066,0.7795106768608093,"tensor([[108,  23,  11],
        [ 10, 128,  19],
        [  4,  34, 115]])"
28,0.31715009906398717,0.6111494888861974,0.9012287259101868,0.9050307273864746,0.9017518162727356,0.902324378490448,0.7809734344482422,0.7835405468940735,0.7810847163200378,0.7816146016120911,"tensor([[113,  16,  13],
        [ 12, 127,  18],
        [ 13,  27, 113]])"
29,0.2992790494836978,0.6059119164943695,0.9154064059257507,0.9199085831642151,0.9158967137336731,0.916705310344696,0.7853982448577881,0.7877791523933411,0.7867276072502136,0.7864837050437927,"tensor([[117,   9,  16],
        [ 14, 116,  27],
        [ 11,  20, 122]])"
30,0.2859164738833015,0.5986110359430313,0.9177693724632263,0.9209966659545898,0.9181916117668152,0.9188418388366699,0.7743362784385681,0.7807168364524841,0.7757743000984192,0.7756938338279724,"tensor([[115,   7,  20],
        [ 14, 111,  32],
        [ 11,  18, 124]])"
31,0.2810411584466251,0.6067610561847687,0.9262759685516357,0.9286010265350342,0.9268655180931091,0.9272798895835876,0.7853982448577881,0.7879648208618164,0.785552978515625,0.7864068150520325,"tensor([[113,  15,  14],
        [ 13, 125,  19],
        [ 10,  26, 117]])"
32,0.26345214848198106,0.6136078586181005,0.9272211790084839,0.9298962950706482,0.9276431202888489,0.928112804889679,0.778761088848114,0.7823982238769531,0.7795210480690002,0.7806106209754944,"tensor([[115,  15,  12],
        [ 12, 122,  23],
        [  9,  29, 115]])"
33,0.25585671569874036,0.6379144936800003,0.931474506855011,0.9338460564613342,0.9317734241485596,0.9322409629821777,0.778761088848114,0.7870113253593445,0.7800318598747253,0.778956413269043,"tensor([[120,  18,   4],
        [ 15, 128,  14],
        [ 17,  32, 104]])"
34,0.24362467207125763,0.6475047111511231,0.9347826242446899,0.9375343918800354,0.9353548884391785,0.935754120349884,0.7743362784385681,0.7753751873970032,0.7769579887390137,0.774144172668457,"tensor([[123,   8,  11],
        [ 20, 114,  23],
        [ 20,  20, 113]])"
