epoch,train_loss,val_loss,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
1,1.0525073355703212,1.00700044631958,0.4910207986831665,0.5027226805686951,0.4855397641658783,0.4776068925857544,0.6128318309783936,0.6442439556121826,0.6103062629699707,0.6118977069854736,"tensor([[ 71,  24,  47],
        [ 15,  93,  49],
        [  5,  35, 113]])"
2,0.9432959645541746,0.9547906001408895,0.6327977180480957,0.6675426363945007,0.6285433173179626,0.6306242942810059,0.6836283206939697,0.7327771186828613,0.6809561252593994,0.6811494827270508,"tensor([[ 91,  46,   5],
        [ 14, 137,   6],
        [ 18,  54,  81]])"
3,0.858956844059389,0.9177060107390086,0.681474506855011,0.6983968615531921,0.6800338625907898,0.6817672252655029,0.6238937973976135,0.656684398651123,0.6319827437400818,0.6167300939559937,"tensor([[127,  10,   5],
        [ 68,  69,  20],
        [ 41,  26,  86]])"
4,0.7996915392021635,0.8607211192448934,0.6965973377227783,0.7078906893730164,0.6965195536613464,0.6966349482536316,0.6836283206939697,0.7104418873786926,0.6864519119262695,0.6802266240119934,"tensor([[116,  20,   6],
        [ 35, 114,   8],
        [ 33,  41,  79]])"
5,0.7385139189549347,0.797767847776413,0.7240075469017029,0.7363881468772888,0.7243440747261047,0.7241155505180359,0.7013274431228638,0.723620593547821,0.7006813883781433,0.7034174799919128,"tensor([[100,  33,   9],
        [ 21, 123,  13],
        [ 11,  48,  94]])"
6,0.6772340304815947,0.7578010261058807,0.7443289160728455,0.7621557712554932,0.7444870471954346,0.7447638511657715,0.7168141603469849,0.7208155989646912,0.717892587184906,0.7183456420898438,"tensor([[108,  20,  14],
        [ 25, 112,  20],
        [ 11,  38, 104]])"
7,0.6464101013852589,0.8412119050820669,0.753308117389679,0.765991747379303,0.7539259791374207,0.7540258765220642,0.6371681690216064,0.6996659636497498,0.641823947429657,0.6207989454269409,"tensor([[122,  19,   1],
        [ 39, 112,   6],
        [ 62,  37,  54]])"
8,0.597777465830988,0.7255188316106796,0.7670132517814636,0.7801865935325623,0.7675588726997375,0.7677335143089294,0.7101770043373108,0.7189407348632812,0.7107858657836914,0.7117584347724915,"tensor([[101,  15,  26],
        [ 19, 101,  37],
        [  6,  28, 119]])"
9,0.5587872533655879,0.747972023487091,0.7849716544151306,0.7978606224060059,0.7853396534919739,0.7860957980155945,0.6858407258987427,0.701969563961029,0.6914637684822083,0.6731739044189453,"tensor([[117,   7,  18],
        [ 46,  66,  45],
        [ 14,  12, 127]])"
10,0.519506957103957,0.7010482867558797,0.8034026622772217,0.8131404519081116,0.8041251301765442,0.8043463230133057,0.7345132827758789,0.7731435894966125,0.7327527403831482,0.7364732623100281,"tensor([[101,  36,   5],
        [ 11, 137,   9],
        [  9,  50,  94]])"
11,0.483181224830115,0.6587058295806248,0.818525493144989,0.8274020552635193,0.8191339373588562,0.8197174668312073,0.767699122428894,0.7679454684257507,0.7701910138130188,0.7672136425971985,"tensor([[119,  11,  12],
        [ 27, 106,  24],
        [ 11,  20, 122]])"
