epoch,train_loss,val_loss,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,confusion_matrix
1,0.799368290972889,0.8149186609120205,0.6394140124320984,0.6405501365661621,0.6423476338386536,0.6388345956802368,0.6415929198265076,0.6590781807899475,0.6426656246185303,0.6368816494941711,"tensor([[ 89,  17,  36],
        [ 26,  75,  56],
        [  8,  19, 126]])"
2,0.7805720805225516,0.8591527055049765,0.6526464819908142,0.6525656580924988,0.6560231447219849,0.6519123911857605,0.6128318309783936,0.6143267750740051,0.6152515411376953,0.6137334704399109,"tensor([[98, 29, 15],
        [39, 86, 32],
        [21, 39, 93]])"
3,0.7652301747996108,0.8544447288430971,0.6559546589851379,0.6574712991714478,0.6597743630409241,0.6545645594596863,0.6371681690216064,0.6746413111686707,0.637213945388794,0.6380502581596375,"tensor([[ 96,  38,   8],
        [ 31, 116,  10],
        [ 14,  63,  76]])"
4,0.7816351051617386,0.8296629863566366,0.6479206085205078,0.6493610739707947,0.650592029094696,0.6478409171104431,0.6504424810409546,0.6644470691680908,0.6525285840034485,0.6514830589294434,"tensor([[106,  26,  10],
        [ 31, 106,  20],
        [ 15,  56,  82]])"
5,0.7829505660031971,0.8306007662723804,0.6474480032920837,0.6491298079490662,0.6516686081886292,0.6458845734596252,0.6327433586120605,0.654137134552002,0.6331919431686401,0.632375955581665,"tensor([[ 97,  32,  13],
        [ 29, 113,  15],
        [ 16,  61,  76]])"
6,0.7708306007815483,0.8013162818448297,0.6620982885360718,0.6635410785675049,0.6656942367553711,0.6613513827323914,0.6592920422554016,0.659618079662323,0.6607256531715393,0.6592216491699219,"tensor([[ 98,  21,  23],
        [ 31,  91,  35],
        [ 14,  30, 109]])"
7,0.780003149258463,0.829307923029209,0.6507561206817627,0.6508734822273254,0.6544032096862793,0.6497742533683777,0.6504424810409546,0.6742327809333801,0.6495530009269714,0.6540293097496033,"tensor([[ 91,  37,  14],
        [ 19, 114,  24],
        [  8,  56,  89]])"
8,0.794733773048659,0.8255415014151869,0.6375236511230469,0.6392640471458435,0.6409915685653687,0.6366044878959656,0.6261062026023865,0.6308755874633789,0.6265780329704285,0.6252257227897644,"tensor([[ 87,  23,  32],
        [ 31,  84,  42],
        [  8,  33, 112]])"
9,0.7679856484545801,0.8304662848341053,0.6639886498451233,0.664681613445282,0.6668079495429993,0.6637820601463318,0.6371681690216064,0.6490542888641357,0.6371914744377136,0.6370606422424316,"tensor([[ 86,  26,  30],
        [ 23,  86,  48],
        [  6,  31, 116]])"
10,0.7866522033411757,0.8336880381765037,0.6417769193649292,0.6414595246315002,0.6453223824501038,0.6414812207221985,0.6504424810409546,0.6524638533592224,0.6517822742462158,0.6486701965332031,"tensor([[ 95,  17,  30],
        [ 36,  86,  35],
        [ 15,  25, 113]])"
